product_name,Original,discount,image,timestamp
Goreng Spicy'licious 86g …,RM4.89,25%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM10.75,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM11.90,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM22.95,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM5.39,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM7.99,,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗠𝗼𝗶𝘀𝘁𝘂𝗿𝗲 𝗙𝗿𝗲𝘀𝗵 Shower…,RM7.19,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Bacterial Wet Wipes 10s …,RM12.52,16%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Fabric Softener French…,RM5.39,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Laundry Detergent Silky…,RM10.75,28%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Blackcurrant STD 300ml,RM6.20,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Toothbrush Super Value…,RM6.68,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Parfum Adorable Bouque…,RM16.35,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Can Regular 320ml,RM2.45,18%,https://shopee.com.my/image_not_available.jpg,6/07/2025
𝗦𝘁𝗶𝗰𝗸 Salted 100g,RM5.71,16%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Towel 60s x 6roll,RM13.20,11%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM2.52,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM19.59,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM26.18,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM4.19,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM5.65,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Cereal 300g (Halal),RM10.25,21%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Fresh Air Refreshing Gel…,RM7.95,24%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Mint Mouthwash Twin…,RM31.88,32%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Magical Bloom 3.8kg,RM16.39,29%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Bud Skincare 640 Tips,RM2.79,15%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Mushroom Pasta Sauce…,RM7.45,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Guide Organic Sweet…,RM7.16,23%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Kids Shiny Drops…,RM17.43,26%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Chocolate Funsize (20g x…,RM11.88,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Marble & Terrazzo Floor…,RM20.89,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM6.38,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM6.35,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM20.80,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Sea Shipping,RM7.29,,https://shopee.com.my/image_not_available.jpg,6/07/2025
COD,RM4.80,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Absorption Core Adult…,RM15.19,29%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Samyang Hot Chicken…,RM47.40,38%,https://shopee.com.my/image_not_available.jpg,6/07/2025
1 Coffee Mix Regular (25…,RM7.90,35%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Clean Fresh Shower Foa…,RM7.19,33%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Ambi Pur Room Fresh Ge…,RM15.60,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Price Range,RM MIN,,https://shopee.com.my/image_not_available.jpg,6/07/2025
RM MIN,RM MAX,,https://shopee.com.my/image_not_available.jpg,6/07/2025
Lime Dishwash Liquid 4.5L,RM30.39,13%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Wafer Sticks Strawberry…,RM8.80,10%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Toiletbowl Botanical…,RM10.59,22%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Hand Wash Uplift (250ml…,RM21.47,20%,https://shopee.com.my/image_not_available.jpg,6/07/2025
Intensive SPF 24…,RM41.33,34%,https://shopee.com.my/image_not_available.jpg,6/07/2025
,RM2.84,,https://shopee.com.my/image_not_available.jpg,6/07/2025
